App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Is_Free,Rating_Category,Install_Category,Size_Category
How To Color Disney Princess - Coloring Pages,ART_AND_DESIGN,-0.3116246893000184,-0.15954322152977135,-0.2966233744138536,-0.1581699417855526,Free,-0.06305416804317218,Everyone,Art & Design,"March 31, 2018",1,4.0 and up,Free,Good,High,Small
Drawing Clothes Fashion Ideas,ART_AND_DESIGN,0.05219064225578477,-0.15981506953458477,-0.23765333338408526,-0.16875215661004717,Free,-0.06305416804317218,Everyone,Art & Design,"July 20, 2018",2.0.1,4.0.3 and up,Free,Excellent,Medium,Medium
Sad Poetry Photo Frames 2018,ART_AND_DESIGN,0.5979136395894887,-0.15978123191373247,-0.2903051557320927,-0.1668084844994257,Free,-0.06305416804317218,Everyone,Art & Design,"April 2, 2018",1.0,4.0.3 and up,Free,Excellent,Medium,Small
Paint Splash!,ART_AND_DESIGN,-0.6754400208558216,-0.15861698834881416,-0.3829723630645858,-0.1668084844994257,Free,-0.06305416804317218,Everyone,Art & Design;Creativity,"April 15, 2018",1.46,4.1 and up,Free,Good,Medium,Small
Popsicle Sticks and Similar DIY Craft Ideas,ART_AND_DESIGN,0.05219064225578477,-0.15986725976335697,-0.26924442679288974,-0.16875215661004717,Free,-0.06305416804317218,Everyone,Art & Design,"January 3, 2018",1.0.0,4.1 and up,Free,Excellent,Medium,Medium
"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,0.9617289711452919,-0.059785327105195206,-0.1428800531576718,0.04699544766893367,Free,-0.06305416804317218,Everyone,Art & Design,"July 31, 2018",1.6.1,4.1 and up,Free,Excellent,High,Medium
Install images with music to make video without Net - 2018,ART_AND_DESIGN,0.7798213053673895,-0.1592685059299704,-0.12181932421846882,-0.1668084844994257,Free,-0.06305416804317218,Everyone,Art & Design,"November 14, 2017",1.6,4.1 and up,Free,Excellent,Medium,Medium
Little Teddy Bear Colouring Book Game,ART_AND_DESIGN,0.05219064225578477,-0.15983342214250468,-0.3113658846712957,-0.1668084844994257,Free,-0.06305416804317218,Everyone,Art & Design,"December 17, 2017",2.0.0,4.1 and up,Free,Excellent,Medium,Small
How To Draw Food,ART_AND_DESIGN,0.23409830803368553,-0.15939754770440717,-0.31241892111825587,-0.1668084844994257,Free,-0.06305416804317218,Everyone,Art & Design,"May 28, 2018",1.0,2.3 and up,Free,Excellent,Medium,Small
Monster Truck Stunt 3D 2019,AUTO_AND_VEHICLES,0.05219064225578477,-0.1596716897852106,-0.13234968868807032,-0.1668084844994257,Free,-0.06305416804317218,Everyone,Auto & Vehicles,"May 10, 2018",1.0,4.0.3 and up,Free,Excellent,Medium,Medium
Real Tractor Farming,AUTO_AND_VEHICLES,-0.3116246893000184,-0.15896568789929216,0.19409160986957597,-0.14737176339321123,Free,-0.06305416804317218,Everyone,Auto & Vehicles,"July 26, 2018",11.0,4.1 and up,Free,Good,High,Large
Ultimate F1 Racing Championship,AUTO_AND_VEHICLES,-0.6754400208558216,-0.15971929186200282,0.20462197433917745,-0.1668084844994257,Free,-0.06305416804317218,Everyone,Auto & Vehicles,"July 26, 2018",3.0,4.1 and up,Free,Good,Medium,Large
American Muscle Car Race,AUTO_AND_VEHICLES,-0.49353235507792,-0.1598081873066148,-0.027046043992055388,-0.1668084844994257,Free,-0.06305416804317218,Everyone,Auto & Vehicles,"July 26, 2018",3.0,4.1 and up,Free,Good,Medium,Large
Offroad Oil Tanker Driver Transport Truck 2019,AUTO_AND_VEHICLES,0.23409830803368553,-0.1595713239606487,-0.048106772931258375,-0.1668084844994257,Free,-0.06305416804317218,Everyone,Auto & Vehicles,"July 31, 2018",4.0,4.1 and up,Free,Excellent,Medium,Large
Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru,AUTO_AND_VEHICLES,1.325544302701095,-0.15387226568252396,-0.048106772931258375,-0.1668084844994257,Free,-0.06305416804317218,Everyone,Auto & Vehicles,"July 18, 2018",1.7.1,4.0 and up,Free,Excellent,Medium,Large
Gas Prices (Germany only),AUTO_AND_VEHICLES,0.41600597381158794,-0.15942048846430704,-0.33663875939833926,-0.16788830233865984,Free,-0.06305416804317218,Everyone,Auto & Vehicles,"July 29, 2018",2.5.1,4.4 and up,Free,Excellent,Medium,Small
Extreme Rally Championship,AUTO_AND_VEHICLES,0.05219064225578477,-0.1598081873066148,0.17303088093037297,-0.1668084844994257,Free,-0.06305416804317218,Everyone,Auto & Vehicles,"July 26, 2018",3.0,4.1 and up,Free,Excellent,Medium,Large
Restart Navigator,AUTO_AND_VEHICLES,-0.3116246893000184,-0.15907752410380402,1.7209944579617924,-0.1668084844994257,Free,-0.06305416804317218,Everyone,Auto & Vehicles,"August 26, 2014",1.0.1,2.2 and up,Free,Good,Medium,Large
"REG - Check the regnumber, find information about Swedish vehicles",AUTO_AND_VEHICLES,-0.49353235507792,-0.1576047273182325,-0.3576994883375422,-0.1668084844994257,Free,-0.06305416804317218,Everyone,Auto & Vehicles,"July 30, 2018",2.493,4.4 and up,Free,Good,Medium,Small
CityBus Lviv,AUTO_AND_VEHICLES,0.7798213053673895,-0.15957591211262864,-0.3355857229513791,-0.16875215661004717,Free,-0.06305416804317218,Everyone,Auto & Vehicles,"July 8, 2018",1.9.1,4.0.3 and up,Free,Excellent,Medium,Small
CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,1.325544302701095,-0.15542363457075253,-0.21659260444488226,-0.1668084844994257,Free,-0.06305416804317218,Everyone,Auto & Vehicles,"July 3, 2018",1.7,4.2 and up,Free,Excellent,Medium,Medium
"ezETC (ETC balance inquiry, meter trial, real-time traffic)",AUTO_AND_VEHICLES,0.23409830803368553,-0.13760325228053505,-0.3050476659895348,-0.14737176339321123,Free,-0.06305416804317218,Everyone,Auto & Vehicles,"July 28, 2018",2.20 Build 02,4.1 and up,Free,Excellent,High,Small
Free VIN Report for Used Cars,AUTO_AND_VEHICLES,0.7798213053673895,-0.1584879465743774,-0.37033592570106405,-0.1668084844994257,Free,-0.06305416804317218,Everyone,Auto & Vehicles,"June 12, 2018",1.37,4.0 and up,Free,Excellent,Medium,Small
DMV Permit Practice Test 2018 Edition,AUTO_AND_VEHICLES,1.325544302701095,-0.15638944056253698,-0.11128895974886734,-0.1668084844994257,Free,-0.06305416804317218,Everyone,Auto & Vehicles,"July 3, 2018",1.7,4.2 and up,Free,Excellent,Medium,Medium
Check Vehicle Tax,AUTO_AND_VEHICLES,-0.49353235507792,-0.15971298315303037,-0.36717681636018357,-0.16875215661004717,Free,-0.06305416804317218,Everyone,Auto & Vehicles,"July 30, 2018",0.2.1,4.4 and up,Free,Good,Medium,Small
Used Cars Mexico,AUTO_AND_VEHICLES,-0.3116246893000184,-0.1597732026477675,-0.3692828892541039,-0.16788830233865984,Free,-0.06305416804317218,Everyone,Auto & Vehicles,"October 14, 2016",1.0,2.3 and up,Free,Good,Medium,Small
Used cars for sale - Trovit,AUTO_AND_VEHICLES,0.05219064225578477,-0.1297552183187902,-0.3218962491408972,-0.06098633625448016,Free,-0.06305416804317218,Everyone,Auto & Vehicles,"July 16, 2018",4.47.3,4.0.3 and up,Free,Excellent,High,Small
"Fines of the State Traffic Safety Inspectorate are official: inspection, payment of fines",AUTO_AND_VEHICLES,1.1436366369231927,-0.09278847781614286,-0.027046043992055388,-0.06098633625448016,Free,-0.06305416804317218,Everyone,Auto & Vehicles,"August 2, 2018",1.9.7,4.0.3 and up,Free,Excellent,High,Large
SK Enca Direct Malls - Used Cars Search,AUTO_AND_VEHICLES,-1.039255352411624,-0.15909128855974394,-0.22712296891448375,-0.1581699417855526,Free,-0.06305416804317218,Everyone,Auto & Vehicles,"August 2, 2018",2.2.21,4.2 and up,Free,Good,High,Medium
"Android Auto - Maps, Media, Messaging & Voice",AUTO_AND_VEHICLES,0.05219064225578477,-0.003930885457989013,-0.22712296891448375,0.04699544766893367,Free,-0.06305416804317218,Teen,Auto & Vehicles,"July 11, 2018",Varies with device,5.0 and up,Free,Excellent,High,Medium
Tickets SDA 2019 + Exam RF,AUTO_AND_VEHICLES,1.1436366369231927,-0.15585549437586754,-0.21659260444488226,-0.1581699417855526,Free,-0.06305416804317218,Everyone,Auto & Vehicles,"July 27, 2018",1.79,4.0 and up,Free,Excellent,High,Medium
Super Cars Wallpapers And Backgrounds,AUTO_AND_VEHICLES,0.7798213053673895,-0.15976918801478504,-0.35980556123146257,-0.16788830233865984,Free,-0.06305416804317218,Everyone,Auto & Vehicles,"June 14, 2018",1.3,4.0 and up,Free,Excellent,Medium,Small
"Police Lights, Sirens & Follow Me",AUTO_AND_VEHICLES,0.5979136395894887,-0.15945948775613683,-0.3018885566486544,-0.1668084844994257,Free,-0.06305416804317218,Everyone,Auto & Vehicles,"June 8, 2018",2.3.5.1,4.1 and up,Free,Excellent,Medium,Small
Police Detector (Speed Camera Radar),AUTO_AND_VEHICLES,0.23409830803368553,-0.15783241436023868,-0.35454037899666185,-0.14737176339321123,Free,-0.06305416804317218,Everyone 10+,Auto & Vehicles,"July 4, 2018",1.6,4.0 and up,Free,Excellent,High,Small
Best Car Wallpapers,AUTO_AND_VEHICLES,0.5979136395894887,-0.15931209337378016,-0.36507074346626334,-0.1668084844994257,Free,-0.06305416804317218,Everyone,Auto & Vehicles,"March 27, 2018",1.6,4.1 and up,Free,Excellent,Medium,Small
Tickets + PDA 2018 Exam,AUTO_AND_VEHICLES,1.325544302701095,-0.046820930166782286,0.00454504941674909,-0.14737176339321123,Free,-0.06305416804317218,Everyone,Auto & Vehicles,"July 15, 2018",8.31,4.1 and up,Free,Excellent,High,Large
Pick Your Part Garage,AUTO_AND_VEHICLES,-0.49353235507792,-0.15980073155964736,-0.058637137400859865,-0.16788830233865984,Free,-0.06305416804317218,Everyone,Auto & Vehicles,"July 24, 2018",1.1.5.0,6.0 and up,Free,Good,Medium,Large
PakWheels: Buy & Sell Cars,AUTO_AND_VEHICLES,0.41600597381158794,-0.15118303510326192,-0.005985315052852403,-0.14737176339321123,Free,-0.06305416804317218,Everyone,Auto & Vehicles,"July 27, 2018",10.0.2,4.2 and up,Free,Excellent,High,Large
Supervision service,AUTO_AND_VEHICLES,-0.3116246893000184,-0.1586462378176865,-0.23765333338408526,-0.1581699417855526,Free,-0.06305416804317218,Everyone,Auto & Vehicles,"July 30, 2018",1.10.3,5.0 and up,Free,Good,High,Medium
Speed Camera Detector - Traffic & Speed Alert,AUTO_AND_VEHICLES,0.23409830803368553,-0.15980302563563734,-0.3387448322922596,-0.1668084844994257,Free,-0.06305416804317218,Everyone,Auto & Vehicles,"July 23, 2018",1.0,4.0.3 and up,Free,Excellent,Medium,Small
Used car search Goo net whole car Go to net,AUTO_AND_VEHICLES,-0.8573476866337223,-0.15677713940484475,-0.20606223997528075,-0.14737176339321123,Free,-0.06305416804317218,Everyone,Auto & Vehicles,"July 23, 2018",3.20.1,4.4 and up,Free,Good,High,Medium
BEST CAR SOUNDS,AUTO_AND_VEHICLES,0.23409830803368553,-0.15968258664616303,0.00454504941674909,-0.1668084844994257,Free,-0.06305416804317218,Everyone,Auto & Vehicles,"July 29, 2018",1.0.3,2.3 and up,Free,Excellent,Medium,Large
RST - Sale of cars on the PCT,AUTO_AND_VEHICLES,-1.7668860155232293,-0.15973879150791773,-0.38402539951154596,-0.1668084844994257,Free,-0.06305416804317218,Everyone,Auto & Vehicles,"April 27, 2018",1.4,4.0.3 and up,Free,Good,Medium,Small
SMS Park,AUTO_AND_VEHICLES,0.5979136395894887,-0.15780775304334632,-0.31241892111825587,-0.1668084844994257,Free,-0.06305416804317218,Everyone,Auto & Vehicles,"May 16, 2018",2.8.2,4.1 and up,Free,Excellent,Medium,Small
SKencar,AUTO_AND_VEHICLES,-0.8573476866337223,-0.15712583895532276,-0.027046043992055388,-0.14737176339321123,Free,-0.06305416804317218,Everyone,Auto & Vehicles,"July 31, 2018",4.0.3,4.0.3 and up,Free,Good,High,Large
auto fines,AUTO_AND_VEHICLES,0.7798213053673895,-0.1418547486089781,-0.21659260444488226,-0.14737176339321123,Free,-0.06305416804317218,Everyone,Auto & Vehicles,"August 2, 2018",1.40,4.0.3 and up,Free,Excellent,High,Medium
"Used car is the first car - used car purchase, used car quotation, dealer information to",AUTO_AND_VEHICLES,0.7798213053673895,-0.1569589449270512,-0.19553187550567927,-0.14737176339321123,Free,-0.06305416804317218,Everyone,Auto & Vehicles,"July 23, 2018",1.5.18,4.0.3 and up,Free,Excellent,High,Medium
All of the parking lot - National Park application (parking lot search / parking sharing / discount payment),AUTO_AND_VEHICLES,-0.3116246893000184,-0.15887621893568268,-0.24818369785368674,-0.1581699417855526,Free,-0.06305416804317218,Everyone,Auto & Vehicles,"June 2, 2018",2.3.4,4.0 and up,Free,Good,High,Medium
Inquiry Fines and Debits of Vehicles,AUTO_AND_VEHICLES,0.41600597381158794,-0.15834514034400074,-0.37244199859498434,-0.1581699417855526,Free,-0.06305416804317218,Everyone,Auto & Vehicles,"March 20, 2018",1.03,4.0.3 and up,Free,Excellent,High,Small
Gas Station,AUTO_AND_VEHICLES,-0.3116246893000184,-0.15914347878851615,-0.34822216031490094,-0.1668084844994257,Free,-0.06305416804317218,Everyone,Auto & Vehicles,"April 21, 2018",2.17,4.0 and up,Free,Good,Medium,Small
Hush - Beauty for Everyone,BEAUTY,0.9617289711452919,-0.14904266220460424,-0.21659260444488226,-0.1581699417855526,Free,-0.06305416804317218,Everyone,Beauty,"August 2, 2018",6.10.1,5.0 and up,Free,Excellent,High,Medium
"ipsy: Makeup, Beauty, and Tips",BEAUTY,1.325544302701095,-0.13132666037193116,-0.24818369785368674,-0.14737176339321123,Free,-0.06305416804317218,Everyone,Beauty,"November 9, 2017",2.3.0,4.1 and up,Free,Excellent,High,Medium
Natural recipes for your beauty,BEAUTY,0.9617289711452919,-0.15922262441017068,-0.292411228626013,-0.1668084844994257,Free,-0.06305416804317218,Everyone,Beauty,"May 15, 2018",4.0,4.1 and up,Free,Excellent,Medium,Small
"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,-0.49353235507792,-0.15888482172064514,-0.17447114656647628,-0.1581699417855526,Free,-0.06305416804317218,Everyone,Beauty,"July 12, 2018",1.0.6,4.0.3 and up,Free,Good,High,Medium
Beauty Selfie Camera,BEAUTY,0.05219064225578477,-0.15860609148786173,0.15197015199116998,-0.1581699417855526,Free,-0.06305416804317218,Everyone,Beauty,"February 28, 2018",1.6,4.1 and up,Free,Excellent,High,Large
Hairstyles step by step,BEAUTY,0.7798213053673895,-0.1573764667572288,-0.24818369785368674,-0.1668084844994257,Free,-0.06305416804317218,Everyone,Beauty,"July 25, 2018",1.9,4.0.3 and up,Free,Excellent,Medium,Medium
Filters for Selfie,BEAUTY,0.23409830803368553,-0.15496596641075017,-0.13234968868807032,-0.14737176339321123,Free,-0.06305416804317218,Everyone,Beauty,"May 10, 2018",1.1.0,4.0 and up,Free,Excellent,High,Medium
Tie - Always be happy,BEAUTY,0.9617289711452919,-0.15932929894370507,-0.3008355202016942,-0.16788830233865984,Free,-0.06305416804317218,Everyone,Beauty,"June 21, 2018",4.0,4.2 and up,Free,Excellent,Medium,Small
Prom MakeUp Tutorial,BEAUTY,1.1436366369231927,-0.15982252528155222,-0.26924442679288974,-0.16875215661004717,Free,-0.06305416804317218,Everyone,Beauty,"June 26, 2018",1.3,4.0.3 and up,Free,Excellent,Medium,Medium
Sweet Selfie Beauty Camera,BEAUTY,0.23409830803368553,-0.15953748633979636,-0.027046043992055388,-0.1668084844994257,Free,-0.06305416804317218,Everyone,Beauty,"June 2, 2018",2.0.0,4.0 and up,Free,Excellent,Medium,Large
Colors of white in Urdu,BEAUTY,0.5979136395894887,-0.159861524573382,-0.32505535848177763,-0.16875215661004717,Free,-0.06305416804317218,Everyone,Beauty,"July 26, 2018",6.0,4.0 and up,Free,Excellent,Medium,Small
Selfie Camera Photo Editor & Filter & Sticker,BEAUTY,-0.1297170235221176,-0.15977492320476,-0.07969786634006286,-0.16788830233865984,Free,-0.06305416804317218,Teen,Beauty,"July 24, 2018",3.0.1,4.0.3 and up,Free,Excellent,Medium,Medium
Eyes Makeup Beauty Tips,BEAUTY,0.05219064225578477,-0.159864965687367,-0.36507074346626334,-0.16875215661004717,Free,-0.06305416804317218,Everyone,Beauty,"April 9, 2018",3.3.9,4.0.3 and up,Free,Excellent,Medium,Small
Photo Editor 2018,BEAUTY,0.5979136395894887,-0.15980531971162734,-0.21659260444488226,-0.16875215661004717,Free,-0.06305416804317218,Everyone,Beauty,"March 1, 2018",1.20,4.0.3 and up,Free,Excellent,Medium,Medium
Step By Step Eyes Makeup Tutorial,BEAUTY,0.41600597381158794,-0.15983973085147712,-0.36507074346626334,-0.16875215661004717,Free,-0.06305416804317218,Everyone,Beauty,"April 5, 2018",2.3.09,4.0.3 and up,Free,Excellent,Medium,Small
Mirror Camera (Mirror + Selfie Camera),BEAUTY,-0.1297170235221176,-0.15453984179561012,-0.36822985280714376,-0.14737176339321123,Free,-0.06305416804317218,Everyone,Beauty,"November 21, 2017",1.4.2,4.0 and up,Free,Excellent,High,Small
Beauty Tips - Beauty Tips in Sinhala,BEAUTY,0.41600597381158794,-0.15983915733247964,-0.3513812696557813,-0.16788830233865984,Free,-0.06305416804317218,Everyone,Beauty,"October 18, 2017",1.0.0,4.0.3 and up,Free,Excellent,Medium,Small
Haircut Tutorials/Haircut Videos,BEAUTY,0.7798213053673895,-0.159860377535387,-0.320843212693937,-0.16875215661004717,Free,-0.06305416804317218,Everyone,Beauty,"May 29, 2018",1.0,4.0 and up,Free,Excellent,Medium,Small
"Sephora: Skin Care, Beauty Makeup & Fragrance Shop",BEAUTY,0.5979136395894887,-0.14449236247846542,0.20462197433917745,-0.14737176339321123,Free,-0.06305416804317218,Everyone,Beauty,"July 24, 2018",18.5,5.0 and up,Free,Excellent,High,Large
"Sticker Camera - Selfie Filters, Beauty Camera",BEAUTY,-0.49353235507792,-0.1585762684999919,-0.1639407820968748,-0.1581699417855526,Free,-0.06305416804317218,Everyone,Beauty,"July 12, 2018",1.1.0,4.0.3 and up,Free,Good,High,Medium
