App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Is_Free,Rating_Category,Install_Category,Size_Category
ibis Paint X,ART_AND_DESIGN,4.6,224399,31,10000000,Free,0,Everyone,Art & Design,"July 30, 2018",5.5.4,4.1 and up,Free,Excellent,High,Large
Logo Maker - Small Business,ART_AND_DESIGN,4,450,14,100000,Free,0,Everyone,Art & Design,"April 20, 2018",4.0,4.1 and up,Free,Good,Medium,Medium
Boys Photo Editor - Six Pack & Men's Suit,ART_AND_DESIGN,4.1,654,12,100000,Free,0,Everyone,Art & Design,"March 20, 2018",1.1,4.0.3 and up,Free,Excellent,Medium,Medium
Superheroes Wallpapers | 4K Backgrounds,ART_AND_DESIGN,4.7,7699,4.2,500000,Free,0,Everyone 10+,Art & Design,"July 12, 2018",2.2.6.2,4.0.3 and up,Free,Excellent,High,Small
HD Mickey Minnie Wallpapers,ART_AND_DESIGN,4.7,118,23,50000,Free,0,Everyone,Art & Design,"July 7, 2018",1.1.3,4.1 and up,Free,Excellent,Medium,Medium
Harley Quinn wallpapers HD,ART_AND_DESIGN,4.8,192,6,10000,Free,0,Everyone,Art & Design,"April 25, 2018",1.5,3.0 and up,Free,Excellent,Medium,Small
Colorfit - Drawing & Coloring,ART_AND_DESIGN,4.7,20260,25,500000,Free,0,Everyone,Art & Design;Creativity,"October 11, 2017",1.0.8,4.0.3 and up,Free,Excellent,High,Medium
Animated Photo Editor,ART_AND_DESIGN,4.1,203,6.1,100000,Free,0,Everyone,Art & Design,"March 21, 2018",1.03,4.0.3 and up,Free,Excellent,Medium,Small
Pencil Sketch Drawing,ART_AND_DESIGN,3.9,136,4.6,10000,Free,0,Everyone,Art & Design,"July 12, 2018",6.0,2.3 and up,Free,Good,Medium,Small
Easy Realistic Drawing Tutorial,ART_AND_DESIGN,4.1,223,4.2,100000,Free,0,Everyone,Art & Design,"August 22, 2017",1.0,2.3 and up,Free,Excellent,Medium,Small
Pink Silver Bow Keyboard Theme,ART_AND_DESIGN,4.2,1120,9.2,100000,Free,0,Everyone,Art & Design,"July 12, 2018",6.7.12.2018,4.0.3 and up,Free,Excellent,Medium,Small
Art Drawing Ideas,ART_AND_DESIGN,4.1,227,5.2,50000,Free,0,Everyone,Art & Design,"May 31, 2018",1.2,2.3 and up,Free,Excellent,Medium,Small
Anime Manga Coloring Book,ART_AND_DESIGN,4.5,5035,11,100000,Free,0,Everyone,Art & Design,"July 19, 2018",2.20,4.0 and up,Free,Excellent,Medium,Medium
Easy Origami Ideas,ART_AND_DESIGN,4.2,1015,11,100000,Free,0,Everyone,Art & Design,"January 6, 2018",1.1.0,4.1 and up,Free,Excellent,Medium,Medium
I Creative Idea,ART_AND_DESIGN,4.7,353,4.2,10000,Free,0,Teen,Art & Design,"April 27, 2018",1.6,4.1 and up,Free,Excellent,Medium,Small
How to draw Ladybug and Cat Noir,ART_AND_DESIGN,3.8,564,9.2,100000,Free,0,Everyone,Art & Design,"July 11, 2018",2.1,4.1 and up,Free,Good,Medium,Small
UNICORN - Color By Number & Pixel Art Coloring,ART_AND_DESIGN,4.7,8145,24,500000,Free,0,Everyone,Art & Design;Creativity,"August 2, 2018",1.0.9,4.4 and up,Free,Excellent,High,Medium
PIP Camera - PIP Collage Maker,ART_AND_DESIGN,4.7,158,11,10000,Free,0,Everyone,Art & Design,"November 29, 2017",1.3,4.0.3 and up,Free,Excellent,Medium,Medium
How To Color Disney Princess - Coloring Pages,ART_AND_DESIGN,4,591,9.4,500000,Free,0,Everyone,Art & Design,"March 31, 2018",1,4.0 and up,Free,Good,High,Small
Drawing Clothes Fashion Ideas,ART_AND_DESIGN,4.2,117,15,10000,Free,0,Everyone,Art & Design,"July 20, 2018",2.0.1,4.0.3 and up,Free,Excellent,Medium,Medium
Sad Poetry Photo Frames 2018,ART_AND_DESIGN,4.5,176,10,100000,Free,0,Everyone,Art & Design,"April 2, 2018",1.0,4.0.3 and up,Free,Excellent,Medium,Small
Paint Splash!,ART_AND_DESIGN,3.8,2206,1.2,100000,Free,0,Everyone,Art & Design;Creativity,"April 15, 2018",1.46,4.1 and up,Free,Good,Medium,Small
Popsicle Sticks and Similar DIY Craft Ideas,ART_AND_DESIGN,4.2,26,12,10000,Free,0,Everyone,Art & Design,"January 3, 2018",1.0.0,4.1 and up,Free,Excellent,Medium,Medium
"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,4.7,174531,24,10000000,Free,0,Everyone,Art & Design,"July 31, 2018",1.6.1,4.1 and up,Free,Excellent,High,Medium
Install images with music to make video without Net - 2018,ART_AND_DESIGN,4.6,1070,26,100000,Free,0,Everyone,Art & Design,"November 14, 2017",1.6,4.1 and up,Free,Excellent,Medium,Medium
Little Teddy Bear Colouring Book Game,ART_AND_DESIGN,4.2,85,8,100000,Free,0,Everyone,Art & Design,"December 17, 2017",2.0.0,4.1 and up,Free,Excellent,Medium,Small
How To Draw Food,ART_AND_DESIGN,4.3,845,7.9,100000,Free,0,Everyone,Art & Design,"May 28, 2018",1.0,2.3 and up,Free,Excellent,Medium,Small
Monster Truck Stunt 3D 2019,AUTO_AND_VEHICLES,4.2,367,25,100000,Free,0,Everyone,Auto & Vehicles,"May 10, 2018",1.0,4.0.3 and up,Free,Excellent,Medium,Medium
Real Tractor Farming,AUTO_AND_VEHICLES,4,1598,56,1000000,Free,0,Everyone,Auto & Vehicles,"July 26, 2018",11.0,4.1 and up,Free,Good,High,Large
Ultimate F1 Racing Championship,AUTO_AND_VEHICLES,3.8,284,57,100000,Free,0,Everyone,Auto & Vehicles,"July 26, 2018",3.0,4.1 and up,Free,Good,Medium,Large
American Muscle Car Race,AUTO_AND_VEHICLES,3.9,129,35,100000,Free,0,Everyone,Auto & Vehicles,"July 26, 2018",3.0,4.1 and up,Free,Good,Medium,Large
Offroad Oil Tanker Driver Transport Truck 2019,AUTO_AND_VEHICLES,4.3,542,33,100000,Free,0,Everyone,Auto & Vehicles,"July 31, 2018",4.0,4.1 and up,Free,Excellent,Medium,Large
Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru,AUTO_AND_VEHICLES,4.9,10479,33,100000,Free,0,Everyone,Auto & Vehicles,"July 18, 2018",1.7.1,4.0 and up,Free,Excellent,Medium,Large
Gas Prices (Germany only),AUTO_AND_VEHICLES,4.4,805,5.6,50000,Free,0,Everyone,Auto & Vehicles,"July 29, 2018",2.5.1,4.4 and up,Free,Excellent,Medium,Small
Extreme Rally Championship,AUTO_AND_VEHICLES,4.2,129,54,100000,Free,0,Everyone,Auto & Vehicles,"July 26, 2018",3.0,4.1 and up,Free,Excellent,Medium,Large
Restart Navigator,AUTO_AND_VEHICLES,4,1403,201,100000,Free,0,Everyone,Auto & Vehicles,"August 26, 2014",1.0.1,2.2 and up,Free,Good,Medium,Large
"REG - Check the regnumber, find information about Swedish vehicles",AUTO_AND_VEHICLES,3.9,3971,3.6,100000,Free,0,Everyone,Auto & Vehicles,"July 30, 2018",2.493,4.4 and up,Free,Good,Medium,Small
CityBus Lviv,AUTO_AND_VEHICLES,4.6,534,5.7,10000,Free,0,Everyone,Auto & Vehicles,"July 8, 2018",1.9.1,4.0.3 and up,Free,Excellent,Medium,Small
CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,7774,17,100000,Free,0,Everyone,Auto & Vehicles,"July 3, 2018",1.7,4.2 and up,Free,Excellent,Medium,Medium
"ezETC (ETC balance inquiry, meter trial, real-time traffic)",AUTO_AND_VEHICLES,4.3,38846,8.6,1000000,Free,0,Everyone,Auto & Vehicles,"July 28, 2018",2.20 Build 02,4.1 and up,Free,Excellent,High,Small
Free VIN Report for Used Cars,AUTO_AND_VEHICLES,4.6,2431,2.4,100000,Free,0,Everyone,Auto & Vehicles,"June 12, 2018",1.37,4.0 and up,Free,Excellent,Medium,Small
DMV Permit Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,6090,27,100000,Free,0,Everyone,Auto & Vehicles,"July 3, 2018",1.7,4.2 and up,Free,Excellent,Medium,Medium
Check Vehicle Tax,AUTO_AND_VEHICLES,3.9,295,2.7,10000,Free,0,Everyone,Auto & Vehicles,"July 30, 2018",0.2.1,4.4 and up,Free,Good,Medium,Small
Used Cars Mexico,AUTO_AND_VEHICLES,4,190,2.5,50000,Free,0,Everyone,Auto & Vehicles,"October 14, 2016",1.0,2.3 and up,Free,Good,Medium,Small
Used cars for sale - Trovit,AUTO_AND_VEHICLES,4.2,52530,7,5000000,Free,0,Everyone,Auto & Vehicles,"July 16, 2018",4.47.3,4.0.3 and up,Free,Excellent,High,Small
"Fines of the State Traffic Safety Inspectorate are official: inspection, payment of fines",AUTO_AND_VEHICLES,4.8,116986,35,5000000,Free,0,Everyone,Auto & Vehicles,"August 2, 2018",1.9.7,4.0.3 and up,Free,Excellent,High,Large
SK Enca Direct Malls - Used Cars Search,AUTO_AND_VEHICLES,3.6,1379,16,500000,Free,0,Everyone,Auto & Vehicles,"August 2, 2018",2.2.21,4.2 and up,Free,Good,High,Medium
"Android Auto - Maps, Media, Messaging & Voice",AUTO_AND_VEHICLES,4.2,271920,16,10000000,Free,0,Teen,Auto & Vehicles,"July 11, 2018",Varies with device,5.0 and up,Free,Excellent,High,Medium
Tickets SDA 2019 + Exam RF,AUTO_AND_VEHICLES,4.8,7021,17,500000,Free,0,Everyone,Auto & Vehicles,"July 27, 2018",1.79,4.0 and up,Free,Excellent,High,Medium
Super Cars Wallpapers And Backgrounds,AUTO_AND_VEHICLES,4.6,197,3.4,50000,Free,0,Everyone,Auto & Vehicles,"June 14, 2018",1.3,4.0 and up,Free,Excellent,Medium,Small
"Police Lights, Sirens & Follow Me",AUTO_AND_VEHICLES,4.5,737,8.9,100000,Free,0,Everyone,Auto & Vehicles,"June 8, 2018",2.3.5.1,4.1 and up,Free,Excellent,Medium,Small
Police Detector (Speed Camera Radar),AUTO_AND_VEHICLES,4.3,3574,3.9,1000000,Free,0,Everyone 10+,Auto & Vehicles,"July 4, 2018",1.6,4.0 and up,Free,Excellent,High,Small
Best Car Wallpapers,AUTO_AND_VEHICLES,4.5,994,2.9,100000,Free,0,Everyone,Auto & Vehicles,"March 27, 2018",1.6,4.1 and up,Free,Excellent,Medium,Small
Tickets + PDA 2018 Exam,AUTO_AND_VEHICLES,4.9,197136,38,1000000,Free,0,Everyone,Auto & Vehicles,"July 15, 2018",8.31,4.1 and up,Free,Excellent,High,Large
Pick Your Part Garage,AUTO_AND_VEHICLES,3.9,142,32,50000,Free,0,Everyone,Auto & Vehicles,"July 24, 2018",1.1.5.0,6.0 and up,Free,Good,Medium,Large
PakWheels: Buy & Sell Cars,AUTO_AND_VEHICLES,4.4,15168,37,1000000,Free,0,Everyone,Auto & Vehicles,"July 27, 2018",10.0.2,4.2 and up,Free,Excellent,High,Large
Supervision service,AUTO_AND_VEHICLES,4,2155,15,500000,Free,0,Everyone,Auto & Vehicles,"July 30, 2018",1.10.3,5.0 and up,Free,Good,High,Medium
Speed Camera Detector - Traffic & Speed Alert,AUTO_AND_VEHICLES,4.3,138,5.4,100000,Free,0,Everyone,Auto & Vehicles,"July 23, 2018",1.0,4.0.3 and up,Free,Excellent,Medium,Small
Used car search Goo net whole car Go to net,AUTO_AND_VEHICLES,3.7,5414,18,1000000,Free,0,Everyone,Auto & Vehicles,"July 23, 2018",3.20.1,4.4 and up,Free,Good,High,Medium
BEST CAR SOUNDS,AUTO_AND_VEHICLES,4.3,348,38,100000,Free,0,Everyone,Auto & Vehicles,"July 29, 2018",1.0.3,2.3 and up,Free,Excellent,Medium,Large
RST - Sale of cars on the PCT,AUTO_AND_VEHICLES,3.2,250,1.1,100000,Free,0,Everyone,Auto & Vehicles,"April 27, 2018",1.4,4.0.3 and up,Free,Good,Medium,Small
SMS Park,AUTO_AND_VEHICLES,4.5,3617,7.9,100000,Free,0,Everyone,Auto & Vehicles,"May 16, 2018",2.8.2,4.1 and up,Free,Excellent,Medium,Small
SKencar,AUTO_AND_VEHICLES,3.7,4806,35,1000000,Free,0,Everyone,Auto & Vehicles,"July 31, 2018",4.0.3,4.0.3 and up,Free,Good,High,Large
auto fines,AUTO_AND_VEHICLES,4.6,31433,17,1000000,Free,0,Everyone,Auto & Vehicles,"August 2, 2018",1.40,4.0.3 and up,Free,Excellent,High,Medium
"Used car is the first car - used car purchase, used car quotation, dealer information to",AUTO_AND_VEHICLES,4.6,5097,19,1000000,Free,0,Everyone,Auto & Vehicles,"July 23, 2018",1.5.18,4.0.3 and up,Free,Excellent,High,Medium
All of the parking lot - National Park application (parking lot search / parking sharing / discount payment),AUTO_AND_VEHICLES,4,1754,14,500000,Free,0,Everyone,Auto & Vehicles,"June 2, 2018",2.3.4,4.0 and up,Free,Good,High,Medium
Inquiry Fines and Debits of Vehicles,AUTO_AND_VEHICLES,4.4,2680,2.2,500000,Free,0,Everyone,Auto & Vehicles,"March 20, 2018",1.03,4.0.3 and up,Free,Excellent,High,Small
Gas Station,AUTO_AND_VEHICLES,4,1288,4.5,100000,Free,0,Everyone,Auto & Vehicles,"April 21, 2018",2.17,4.0 and up,Free,Good,Medium,Small
Hush - Beauty for Everyone,BEAUTY,4.7,18900,17,500000,Free,0,Everyone,Beauty,"August 2, 2018",6.10.1,5.0 and up,Free,Excellent,High,Medium
"ipsy: Makeup, Beauty, and Tips",BEAUTY,4.9,49790,14,1000000,Free,0,Everyone,Beauty,"November 9, 2017",2.3.0,4.1 and up,Free,Excellent,High,Medium
Natural recipes for your beauty,BEAUTY,4.7,1150,9.8,100000,Free,0,Everyone,Beauty,"May 15, 2018",4.0,4.1 and up,Free,Excellent,Medium,Small
"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,3.9,1739,21,500000,Free,0,Everyone,Beauty,"July 12, 2018",1.0.6,4.0.3 and up,Free,Good,High,Medium
Beauty Selfie Camera,BEAUTY,4.2,2225,52,500000,Free,0,Everyone,Beauty,"February 28, 2018",1.6,4.1 and up,Free,Excellent,High,Large
Hairstyles step by step,BEAUTY,4.6,4369,14,100000,Free,0,Everyone,Beauty,"July 25, 2018",1.9,4.0.3 and up,Free,Excellent,Medium,Medium
Filters for Selfie,BEAUTY,4.3,8572,25,1000000,Free,0,Everyone,Beauty,"May 10, 2018",1.1.0,4.0 and up,Free,Excellent,High,Medium
Tie - Always be happy,BEAUTY,4.7,964,9,50000,Free,0,Everyone,Beauty,"June 21, 2018",4.0,4.2 and up,Free,Excellent,Medium,Small
Prom MakeUp Tutorial,BEAUTY,4.8,104,12,10000,Free,0,Everyone,Beauty,"June 26, 2018",1.3,4.0.3 and up,Free,Excellent,Medium,Medium
Sweet Selfie Beauty Camera,BEAUTY,4.3,601,35,100000,Free,0,Everyone,Beauty,"June 2, 2018",2.0.0,4.0 and up,Free,Excellent,Medium,Large
Colors of white in Urdu,BEAUTY,4.5,36,6.7,10000,Free,0,Everyone,Beauty,"July 26, 2018",6.0,4.0 and up,Free,Excellent,Medium,Small
Selfie Camera Photo Editor & Filter & Sticker,BEAUTY,4.1,187,30,50000,Free,0,Teen,Beauty,"July 24, 2018",3.0.1,4.0.3 and up,Free,Excellent,Medium,Medium
Eyes Makeup Beauty Tips,BEAUTY,4.2,30,2.9,10000,Free,0,Everyone,Beauty,"April 9, 2018",3.3.9,4.0.3 and up,Free,Excellent,Medium,Small
Photo Editor 2018,BEAUTY,4.5,134,17,10000,Free,0,Everyone,Beauty,"March 1, 2018",1.20,4.0.3 and up,Free,Excellent,Medium,Medium
Step By Step Eyes Makeup Tutorial,BEAUTY,4.4,74,2.9,10000,Free,0,Everyone,Beauty,"April 5, 2018",2.3.09,4.0.3 and up,Free,Excellent,Medium,Small
Mirror Camera (Mirror + Selfie Camera),BEAUTY,4.1,9315,2.6,1000000,Free,0,Everyone,Beauty,"November 21, 2017",1.4.2,4.0 and up,Free,Excellent,High,Small
Beauty Tips - Beauty Tips in Sinhala,BEAUTY,4.4,75,4.2,50000,Free,0,Everyone,Beauty,"October 18, 2017",1.0.0,4.0.3 and up,Free,Excellent,Medium,Small
Haircut Tutorials/Haircut Videos,BEAUTY,4.6,38,7.1,10000,Free,0,Everyone,Beauty,"May 29, 2018",1.0,4.0 and up,Free,Excellent,Medium,Small
"Sephora: Skin Care, Beauty Makeup & Fragrance Shop",BEAUTY,4.5,26834,57,1000000,Free,0,Everyone,Beauty,"July 24, 2018",18.5,5.0 and up,Free,Excellent,High,Large
"Sticker Camera - Selfie Filters, Beauty Camera",BEAUTY,3.9,2277,22,500000,Free,0,Everyone,Beauty,"July 12, 2018",1.1.0,4.0.3 and up,Free,Good,High,Medium
Filters for B Live,BEAUTY,4.4,2280,24,500000,Free,0,Everyone,Beauty,"May 14, 2018",1.1.0,4.0 and up,Free,Excellent,High,Medium
Facial Wrinkle Reduction,BEAUTY,4.6,184,21,10000,Free,0,Everyone,Beauty,"July 2, 2018",1.5,4.1 and up,Free,Excellent,Medium,Medium
Makeup Videos,BEAUTY,3.8,9,3.4,5000,Free,0,Everyone,Beauty,"June 7, 2018",1.0,4.0 and up,Free,Good,Medium,Small
Discover Color,BEAUTY,4,364,6.4,100000,Free,0,Everyone,Beauty,"May 24, 2018",1.1,4.0.3 and up,Free,Good,Medium,Small
Eyeliner step by step 2018,BEAUTY,4.3,18,3.2,5000,Free,0,Everyone,Beauty,"June 1, 2018",1.2.13,4.0.3 and up,Free,Excellent,Medium,Small
Dresses Ideas & Fashions +3000,BEAUTY,4.5,473,8.2,100000,Free,0,Mature 17+,Beauty,"March 1, 2017",1.0.2.0,1.6 and up,Free,Excellent,Medium,Small
Step By Step Hairstyles For Women,BEAUTY,4.1,66,2.9,10000,Free,0,Everyone,Beauty,"April 5, 2018",3.1.89,4.0.3 and up,Free,Excellent,Medium,Small
Rainbow Camera,BEAUTY,3.7,3871,23,1000000,Free,0,Everyone,Beauty,"July 30, 2018",2.2.0,4.0 and up,Free,Good,High,Medium
Methods of teeth whitening,BEAUTY,4.7,257,4.6,50000,Free,0,Everyone,Beauty,"August 7, 2017",1.0,4.0.3 and up,Free,Excellent,Medium,Small
Girls hairstyles 2018,BEAUTY,4.2,62,3.1,10000,Free,0,Everyone,Beauty,"May 28, 2018",1.9.2,4.0.3 and up,Free,Excellent,Medium,Small
E-Book Read - Read Book for free,BOOKS_AND_REFERENCE,4.5,1857,4.9,50000,Free,0,Everyone,Books & Reference,"August 3, 2018",1.3.2,4.4 and up,Free,Excellent,Medium,Small
Download free book with green book,BOOKS_AND_REFERENCE,4.6,4478,9.5,100000,Free,0,Everyone 10+,Books & Reference,"July 31, 2017",1.1,4.0 and up,Free,Excellent,Medium,Small
Free Panda Radio Music,BOOKS_AND_REFERENCE,4.5,418,4.2,100000,Free,0,Everyone,Books & Reference,"March 27, 2018",2.1,4.1 and up,Free,Excellent,Medium,Small
Book store,BOOKS_AND_REFERENCE,4.4,22486,5.4,1000000,Free,0,Teen,Books & Reference,"June 6, 2018",3.2.1,4.0 and up,Free,Excellent,High,Small
English Grammar Complete Handbook,BOOKS_AND_REFERENCE,4.6,1435,2.8,500000,Free,0,Everyone,Books & Reference,"January 21, 2018",1.0,4.0 and up,Free,Excellent,High,Small
Free Books - Spirit Fanfiction and Stories,BOOKS_AND_REFERENCE,4.8,116507,5,1000000,Free,0,Teen,Books & Reference,"August 1, 2018",2.0.075,4.0.3 and up,Free,Excellent,High,Small
AlReader -any text book reader,BOOKS_AND_REFERENCE,4.6,90468,5.9,5000000,Free,0,Everyone,Books & Reference,"May 27, 2018",1.911805270,2.3 and up,Free,Excellent,High,Small
Offline English Dictionary,BOOKS_AND_REFERENCE,4.2,860,13,100000,Free,0,Everyone,Books & Reference,"July 17, 2018",1.0,4.0.3 and up,Free,Excellent,Medium,Medium
Oxford Dictionary of English : Free,BOOKS_AND_REFERENCE,4.1,363934,7.1,10000000,Free,0,Everyone,Books & Reference,"July 11, 2018",9.1.363,4.1 and up,Free,Excellent,High,Small
Offline: English to Tagalog Dictionary,BOOKS_AND_REFERENCE,4.7,967,6.7,500000,Free,0,Everyone,Books & Reference,"August 4, 2018",1.1.6,4.0.3 and up,Free,Excellent,High,Small
FamilySearch Tree,BOOKS_AND_REFERENCE,4.3,17506,17,1000000,Free,0,Everyone,Books & Reference,"July 20, 2018",2.3.18,4.1 and up,Free,Excellent,High,Medium
Cloud of Books,BOOKS_AND_REFERENCE,3.3,1862,19,1000000,Free,0,Everyone,Books & Reference,"April 27, 2018",2.2.5,4.1 and up,Free,Good,High,Medium
Recipes of Prophetic Medicine for free,BOOKS_AND_REFERENCE,4.6,2084,6.7,500000,Free,0,Everyone,Books & Reference,"May 17, 2018",15.0,2.3 and up,Free,Excellent,High,Small
ReadEra – free ebook reader,BOOKS_AND_REFERENCE,4.8,47303,21,1000000,Free,0,Everyone,Books & Reference,"June 2, 2018",18.05.31+530,4.1 and up,Free,Excellent,High,Medium
Ebook Reader,BOOKS_AND_REFERENCE,4.1,85842,37,5000000,Free,0,Everyone,Books & Reference,"June 25, 2018",5.0.6,4.0 and up,Free,Excellent,High,Large
Litnet - E-books,BOOKS_AND_REFERENCE,4.6,7831,15,100000,Free,0,Teen,Books & Reference,"July 4, 2018",1.2.3,4.0 and up,Free,Excellent,Medium,Medium
Read books online,BOOKS_AND_REFERENCE,4.1,91615,23,5000000,Free,0,Mature 17+,Books & Reference,"June 29, 2018",3.12,4.1 and up,Free,Excellent,High,Medium
English to Urdu Dictionary,BOOKS_AND_REFERENCE,4.6,4620,19,500000,Free,0,Everyone,Books & Reference,"November 23, 2017",2.0,4.0.3 and up,Free,Excellent,High,Medium
eBoox: book reader fb2 epub zip,BOOKS_AND_REFERENCE,4.7,21336,23,1000000,Free,0,Everyone,Books & Reference,"June 20, 2018",1.28,3.0 and up,Free,Excellent,High,Medium
English Persian Dictionary,BOOKS_AND_REFERENCE,4.5,26875,73,500000,Free,0,Everyone,Books & Reference,"August 1, 2018",6.0.8,4.0.3 and up,Free,Excellent,High,Large
Flybook,BOOKS_AND_REFERENCE,3.9,1778,4.9,500000,Free,0,Mature 17+,Books & Reference,"October 16, 2014",1.0.3,2.1 and up,Free,Good,High,Small
All Maths Formulas,BOOKS_AND_REFERENCE,4.4,2709,6.8,1000000,Free,0,Everyone,Books & Reference,"July 11, 2018",1.9,4.4 and up,Free,Excellent,High,Small
English translation from Bengali,BOOKS_AND_REFERENCE,4.5,527,2.9,100000,Free,0,Everyone,Books & Reference,"March 31, 2018",14.0,4.0 and up,Free,Excellent,Medium,Small
Pdf Book Download - Read Pdf Book,BOOKS_AND_REFERENCE,4.4,1322,3.5,100000,Free,0,Everyone,Books & Reference,"May 28, 2018",6.0,4.0.3 and up,Free,Excellent,Medium,Small
Free Book Reader,BOOKS_AND_REFERENCE,3.4,1680,4,100000,Free,0,Everyone,Books & Reference,"August 20, 2016",3.05,4.0.3 and up,Free,Good,Medium,Small
eBoox new: Reader for fb2 epub zip books,BOOKS_AND_REFERENCE,4.9,2739,21,50000,Free,0,Everyone,Books & Reference,"July 17, 2018",2.0,3.0 and up,Free,Excellent,Medium,Medium
"Only 30 days in English, the guideline is guaranteed",BOOKS_AND_REFERENCE,4.6,1065,2.3,500000,Free,0,Everyone,Books & Reference,"June 16, 2018",1.5,3.0 and up,Free,Excellent,High,Small
English-Myanmar Dictionary,BOOKS_AND_REFERENCE,4.4,8788,10,1000000,Free,0,Everyone,Books & Reference,"July 28, 2018",2.5.3,4.0 and up,Free,Excellent,High,Small
Golden Dictionary (EN-AR),BOOKS_AND_REFERENCE,4.4,51269,6.1,1000000,Free,0,Everyone,Books & Reference,"July 19, 2018",7.0.4.6,4.2 and up,Free,Excellent,High,Small
All Language Translator Free,BOOKS_AND_REFERENCE,4.4,30105,2.1,1000000,Free,0,Everyone,Books & Reference,"July 29, 2018",1.15,4.0.3 and up,Free,Excellent,High,Small
Azpen eReader,BOOKS_AND_REFERENCE,3.5,156,42,500000,Free,0,Everyone,Books & Reference,"February 15, 2018",3.1.7.9,2.2 and up,Free,Good,High,Large
